"","","moleculeClusterIndex"
1692.25379278227,1286.88906531276,1
1619.36381847419,1319.3069403531,1
1660.64892738037,1245.15246021517,1
1680.64222800195,1332.60871471046,1
1664.69948499963,1299.92635475458,1
1650.36808661192,1288.83893525135,1
1629.93346036234,1297.33637541116,1
1650.45754902012,1284.93802239581,1
1662.64232937167,1323.57697237255,1
1679.92208651506,1305.8023724234,1
1657.53696838473,1322.60737040789,1
1705.17046757401,1332.43642667388,1
1661.16878373779,1294.12483772257,1
1689.64490607882,1283.56983532065,1
1638.5810590287,1311.08040241318,1
1230.43449517442,356.063453033609,2
1213.73798772114,363.813293442921,2
1208.83502929844,359.790901248387,2
1250.11767065613,385.706886539439,2
1197.63599661226,315.456975346261,2
1223.96204059079,399.260923707042,2
1238.77684383765,359.038028804664,2
1245.88496631036,347.768447926567,2
1187.16015612094,361.409921663681,2
1271.01586174001,374.224282669323,2
1226.49645130998,366.578666983994,2
1237.16532335711,399.667666815799,2
1257.02676520563,361.044640141161,2
1239.50199046361,376.608534917745,2
1263.94601803504,348.741398322726,2
1499.53250415804,97.5744592187445,3
1560.22045462173,27.5366699938015,3
1531.73456176219,98.1387885864205,3
1507.78490665704,8.45060812958447,3
1531.07017335722,-5.38956071214055,3
1602.73967750184,28.7265842601142,3
1546.99413375118,45.6710252214499,3
1525.52441122864,37.5771579014007,3
1563.68950998954,-23.4004658274611,3
1513.45573564414,29.0290781327748,3
1538.44823736395,35.9272226386294,3
1563.20677550883,41.0349396363262,3
1523.40222788933,42.4071758830978,3
1517.92783557305,9.52697131493971,3
1529.42678003732,41.9088049955662,3
183.847513912426,323.239360353353,4
193.960354549686,315.806075237733,4
212.629586716001,302.678777940998,4
197.260562713316,306.210743276261,4
178.147916722404,306.248894335815,4
158.290612852989,352.873592059394,4
217.777968871004,299.096676274529,4
185.822172543324,324.94418511586,4
262.352975229486,285.397798280612,4
181.805821507417,364.375141766909,4
181.633185845313,310.354886764629,4
149.999715990062,300.596068318169,4
218.994853223036,362.269097227219,4
210.099368726896,295.161786344151,4
173.224408783549,283.14288895209,4
1343.32475872856,1991.55886510356,5
1417.01083308806,1990.18100848671,5
1329.65988958884,2029.35089187506,5
1394.78333311284,1967.42821966368,5
1382.90204912689,1999.12589080585,5
1334.50512200033,1969.65093029955,5
1400.67799818027,2036.45398102531,5
1366.47559812249,1999.58573214555,5
1389.2341386619,1965.30859905103,5
1383.59213107117,1937.81227009756,5
1375.37160459169,1982.45761975874,5
1374.76901764751,1985.55950808605,5
1349.88569230448,1995.14592024731,5
1371.85542275531,2008.12559376146,5
1393.04728631254,1982.728905918,5
1229.87730339692,248.263267881018,6
1202.56779590749,219.720358753514,6
1209.85652476704,185.025288430466,6
1200.39939508083,161.806057413715,6
1162.1873541486,246.683584481471,6
1187.31870948533,243.560614759658,6
1179.63011028673,189.652692555199,6
1190.75586754191,237.336648674573,6
1186.17412127757,243.047121959635,6
1203.95762718869,242.528511545856,6
1177.47499995091,257.725366945369,6
1224.29616027719,178.926083968194,6
1197.03705667411,230.076443188934,6
1179.17362853749,182.251878335184,6
1191.1156595404,202.80036903357,6
225.997277361051,1266.62084956816,7
206.511603632936,1259.17888363422,7
154.0662711198,1233.18606956412,7
205.906650128437,1248.071214412,7
166.391942425004,1190.21232544359,7
180.799449895695,1242.66526333284,7
179.79384764775,1261.60125683287,7
214.935921894207,1199.94869452926,7
182.472683393987,1203.06319773714,7
188.515187036044,1224.97070206319,7
218.055526782609,1272.66890512285,7
225.424276869101,1274.40463991294,7
212.322431899271,1233.59631843056,7
177.879418653429,1268.43547996337,7
184.433898799463,1260.45274758077,7
297.382307328631,1293.49649578161,8
288.245552702856,1174.35048970462,8
309.787985516504,1229.14884889223,8
324.539646833187,1214.08826305033,8
336.206919857516,1221.57664801106,8
306.77507462954,1284.26979710877,8
307.143052576136,1200.36902080765,8
298.025937108674,1179.25366933189,8
294.62733048481,1225.940848977,8
327.556258232635,1169.0499616675,8
329.86293289728,1179.08944213764,8
311.593638492653,1219.42369504841,8
329.575049817212,1234.8297428793,8
323.974500469745,1210.93384636281,8
348.831681540137,1221.46629740882,8
979.290686067826,62.5010201626476,9
916.154947604145,80.9148459109629,9
957.244231612531,70.9606054202767,9
930.366061581509,84.7374448965492,9
955.941915370706,90.9386606732722,9
950.720660181297,30.3429634325994,9
982.055652556492,48.9982791503266,9
951.633130889186,123.583361441487,9
936.057809803312,23.9978819758484,9
917.254335875852,111.006440456057,9
932.281859457572,95.0949492625288,9
930.513221189458,60.4520615302043,9
1016.1111356059,108.121383243861,9
918.751653787525,124.364220306463,9
942.485350960364,56.9649477550151,9
1579.98593557104,717.690864678496,10
1586.47416086775,663.335580195804,10
1568.09324278481,704.079780623817,10
1639.92986668411,736.475585917057,10
1614.88361567035,701.430551397318,10
1585.06624854848,701.624525325481,10
1612.9967484435,709.185373936596,10
1576.03840906415,742.756412383104,10
1557.48362903141,711.30688016193,10
1587.77220888506,718.899918618343,10
1594.22013910593,661.415514746167,10
1598.20131340158,711.572056011645,10
1601.81435186333,692.267382410515,10
1563.31842109633,681.129396033816,10
1602.70952467781,689.918035072232,10
417.793224794262,1548.91083301721,11
405.886664158802,1673.32044676787,11
433.553674523884,1610.22984930978,11
431.452919487119,1567.35502689077,11
453.439766556136,1545.09716396061,11
382.910155333385,1608.65708504278,11
340.85119077076,1629.25153643534,11
365.976826226545,1556.7338858889,11
509.694347559206,1561.15875087203,11
387.451798191918,1534.82730814269,11
520.959909561603,1470.68037843611,11
385.896548792272,1695.39486574863,11
446.251275377293,1787.86206084977,11
369.804997644028,1610.77514522047,11
561.168020542141,1667.05646738063,11
667.258602493164,1573.87833642913,11
