"x","y","moleculeIndex","error","clusterIndex"
899.624219988605,229.270852114169,124,15.5929532480975,3
838.060411387323,453.107039459951,1180,28.5646203807024,0
46.9514064848053,1315.38769375987,561,24.0388669323121,12
725.85108409387,548.681503475308,1190,14.7029949735348,0
263.074718814669,301.161140947194,1348,21.0623557079479,0
740.783878375253,1416.15506997745,606,11.9904504473854,13
703.718317729596,158.134935695834,201,8.69489920414074,5
156.527206377036,1459.64117129574,722,36.9269286822377,15
1364.23285171782,26.1821635716346,879,36.7710586515572,18
1447.19881199348,384.275958286823,501,27.7142291623993,11
1130.56568801564,1706.5729086423,1642,10.3458290879672,0
1296.22271516662,1407.18655361137,299,21.7285407899266,6
845.082473031789,190.240969447028,1480,21.6810361983593,0
1641.91026351531,796.686816433565,367,13.946023842177,8
1942.29961393409,1272.03711997564,1483,11.2434228735901,0
1135.74989476455,221.662770422202,1570,12.4583764507832,0
1497.99267487619,260.562297650923,696,21.2144856412402,14
682.603781578572,232.298882064303,225,23.3794125248526,5
1690.71280087487,319.498589733237,517,11.1482220355271,11
1866.03248593165,257.958998880035,1387,49.7100765602053,0
766.873432003763,1046.09158704688,969,7.96008535126152,20
1598.13528122644,1161.58195611351,941,12.5032977822676,19
1542.94332473977,1367.30364331499,344,10.9500000533967,7
1412.71219823344,1585.52051936415,1737,21.1680871596632,0
78.1124409047319,1330.95359006114,557,20.6444662347757,12
788.38069102246,310.700765392328,1595,3.56353894366262,0
150.17751415115,1342.92749536119,1644,22.2586066368727,0
1975.81629909857,1452.96417600788,1446,4.44663669509349,0
820.15540223275,941.970075958988,995,20.6626343331992,20
607.931748701482,257.653518939495,1490,12.0258893442706,0
1730.06850292018,1324.7668151726,1691,9.29261142032992,0
702.634187308491,133.758585883275,213,17.1429304493808,5
1618.2684398168,702.757930855928,1956,6.51788758859943,0
1641.12246747356,1261.160924159,1085,37.7205492120428,0
581.020132131463,1279.04129041202,1563,12.8581673763163,0
751.171343030108,453.719764092485,1858,8.81775909163605,0
285.22280006118,1957.90751784085,1064,5.91125154293446,0
301.49354498019,1889.56416464138,77,27.9749588082249,2
655.935496192187,296.435548549541,1983,28.45256439483,0
493.337486355339,1250.78573825534,4,13.6299873681268,1
642.855404439738,842.113416343646,1397,17.4097561794574,0
90.7636465242579,596.44911245011,1271,15.9815436622063,0
47.0650027813437,1804.66965709336,96,10.9837832916814,2
1493.19025599782,217.150567338106,698,24.6193259325123,14
1502.01112542211,383.247724281345,502,15.9867466524615,11
1927.65056556605,1564.79425451605,1648,17.2332717330785,0
923.349347104062,300.217514154449,1882,15.4483205995499,0
1211.35716083147,1619.0072154038,473,22.4971099081022,10
195.307588771863,1490.73589203778,736,18.9516166314739,15
129.175911713786,372.881124984394,405,71.1861057501768,9
1535.0876072328,1380.80310358101,312,15.8720678527551,7
85.2072846098059,1379.16697012184,600,9.78670414500556,12
534.874862400141,1292.95108218219,13,16.5566962652269,1
1927.53594405909,1474.76870305286,1376,6.03977037852348,0
625.264961784812,941.416369800242,1513,10.6823940948395,0
37.192428674955,1114.83881110401,1728,13.358549701892,0
706.801548563278,117.415485530998,205,11.2493048531731,5
231.017641191582,159.58859350758,1041,8.10287327589369,0
