"x","y","index"
1840.77536412935,617.891419498459,1
1854.37615484723,630.030817075907,1
1773.25045209103,604.86187351627,1
1794.95017004617,573.256969837459,1
1812.45909064597,648.634191252153,1
1857.7193439389,644.083223463469,1
1850.69928106509,598.791714277528,1
1831.70340175503,586.740360245923,1
1881.4613747902,605.445853091605,1
1866.35705491838,583.827469425439,1
1841.12866768709,605.240105782531,1
1805.43273060077,602.962913427554,1
1855.02859435655,612.846101159032,1
1853.89430890361,638.476461310919,1
1856.16560894853,594.740444962024,1
1126.17098224723,1487.80027623589,2
1157.92887437718,1483.94090550278,2
1126.68996035196,1474.3728740625,2
1134.7969889737,1518.89369022554,2
1137.79610518466,1481.35642554393,2
1139.23045535621,1488.67765829162,2
1128.19386107103,1453.03553860886,2
1173.10358519075,1491.12566773231,2
1120.19964425565,1458.87418913917,2
1184.65548871273,1510.1156409714,2
1133.71842664246,1516.12739599429,2
1180.60072479895,1503.00878304267,2
1135.94347961236,1475.27478750182,2
1156.29131876472,1475.57224697626,2
1122.95850382845,1462.35581250872,2
707.144721738148,2016.77400132744,3
692.378267354791,1985.67674869402,3
672.465498781168,2007.40908162516,3
696.351129924329,1977.50075305292,3
726.79753493784,2019.98242554498,3
709.247649536014,1964.37952869771,3
723.169033188436,1985.13660403698,3
659.46350768806,1993.03447588382,3
717.342653369853,1980.38493927912,3
684.323186581842,2023.88131010577,3
672.276185897032,1961.29560775461,3
733.334294921351,1971.78133928844,3
694.377959866766,1974.28144831897,3
700.480362343524,2029.24905510561,3
706.809484436586,2001.37895099209,3
820.583286208321,1826.15569551142,4
839.153266720982,1818.26783787151,4
837.414561876158,1796.46122358272,4
879.939618967047,1813.01686836428,4
856.0047979417,1803.40389094454,4
847.543825816096,1853.94090344063,4
831.051000933701,1814.26582462555,4
830.413109955099,1814.93267168305,4
865.298373054407,1804.01768664437,4
870.568078716967,1816.07563604171,4
816.43101853219,1828.08280790985,4
808.210796586673,1853.14628675762,4
864.367745958242,1855.23156996639,4
873.462154610925,1773.56494768037,4
827.019084680932,1816.66536580871,4
1743.31041978874,206.113741985146,5
1701.93371283461,222.95237072108,5
1738.28895868577,215.936204347546,5
1760.12936851981,169.310369030996,5
1685.38495564381,184.585077439595,5
1688.26982564463,244.344640555827,5
1700.62371704071,181.075322244718,5
1716.5911172799,147.53315044796,5
1718.93527040064,177.468558100941,5
1668.21739112991,232.548269465856,5
1714.64009491042,221.783619320915,5
1756.73506551913,190.331841302244,5
1688.59705619748,170.441481643974,5
1719.15590086258,194.488644113815,5
1720.43908693237,228.348393427914,5
1372.38944489865,264.03315622501,6
1428.68829148533,247.950679161426,6
1415.77941663038,270.641743932743,6
1418.9787081019,241.971285271481,6
1407.80048746281,280.853319603767,6
1404.54293196563,233.070326193436,6
1386.21353961235,246.098060826518,6
1403.65816785623,253.094293026655,6
1403.47904145548,273.677003135022,6
1392.93220773123,241.875052999073,6
1432.97632195177,242.149797104591,6
1439.15705525468,251.638579596194,6
1381.57126243421,230.245113654437,6
1432.76585764822,297.634365498605,6
1408.87490130761,287.052392427154,6
601.857546418307,1605.45479903777,7
594.121758346484,1597.50615611516,7
583.068326632476,1589.42185528227,7
580.605481106284,1558.3301839154,7
629.708182061053,1579.59698372143,7
609.844662228219,1633.55818272871,7
671.322670315813,1546.10226283399,7
