"x","y","frame","uncertainty"
672.75189572202,1757.0091789749,1,17.48
748.25746364188,1,2,4.2888
213.25746364188,1713,2,5.9521
1085.46303156174,204.990821025003,3,5.2566
755.26303156174,1659.990821025,3,16.05
1026.6685994816,117.981642050003,4,11.86
749.06859948159,1643.98164205,4,12.56
791.07973532131,1657.9632841,6,11.758
1854.27973532131,1891.9632841,6,14.506
749.08530324117,1662.954105125,7,14.134
735.502007000739,1614.9265682001,10,13.958
368.0075749206,1372.9173892251,11,4.3023
327.51314284046,1378.9082102501,12,5.4819
300.218710760319,1372.8990312751,13,5.0894
358.624278680179,1391.8898523002,14,7.7462
729.72984660003,1650.8806733252,15,12.381
327.03541451989,1372.8714943502,16,26.156
765.03541451989,1660.8714943502,16,16.246
741.04098243975,1615.8623153752,17,16.207
719.84655035961,1656.8531364002,18,15.298
783.05768619932,1646.8347784502,20,13.466
819.46325411918,1673.8255994753,21,13.242
751.66882203904,1647.8164205003,22,10.722
792.4743899589,1632.8072415253,23,15.444
778.57995787876,1633.7980625503,24,12.01
1405.18552579861,974.7888835753,25,27.549
563.78552579861,1127.7888835753,25,19.215
1361.19109371847,1022.7797046003,26,9.5948
520.39109371847,1112.7797046003,26,3.9875
790.59666163833,1636.7705256254,27,17.677
755.90222955819,1648.7613466504,28,10.408
754.00779747805,1636.7521676754,29,10.562
803.3133653979,1683.7429887004,30,14.028
842.11893331776,1761.7338097254,31,8.3953
166.92450123762,650.724630750403,32,11.343
817.32450123762,1765.7246307504,32,8.2759
675.93006915748,565.715451775501,33,3.6116
185.63006915748,653.715451775501,33,18.862
793.33006915748,1751.7154517755,33,7.3648
679.33563707734,565.7062728005,34,5.1699
161.13563707734,635.7062728005,34,15.731
803.43563707734,1762.7062728005,34,9.0467
64.5412049971901,583.6970938255,35,20.24
803.64120499719,1776.6970938255,35,8.8375
729.84677291705,1640.6879148505,36,14.014
765.25234083691,1646.6787358755,37,10.905
212.85790875677,1094.6695569005,38,12.897
276.76347667663,1135.6603779256,39,12.879
898.66347667663,1857.6603779256,39,10.349
929.46904459649,1910.6511989506,40,5.533
760.97461251634,1633.6420199756,41,13.06
791.58574835606,1679.6236620256,43,14.71
313.09131627592,1370.6144830506,44,23.565
771.99131627592,1655.6144830506,44,11.103
740.19688419578,1638.6053040756,45,10.598
