"x","y","frame","uncertainty"
1501.8140330702,38.7803857567997,1,10.68
1362.8140330702,664.7803857568,1,6.694
1077.8140330702,1349.7803857568,1,23.922
731.8196009901,1122.7712067819,2,9.4634
179.830736829801,1237.7528488319,4,23.075
1611.8363047497,442.7436698569,5,20.952
236.836304749701,1247.7436698569,5,20.743
1612.8418726695,469.7344908819,6,10.075
197.8418726695,1221.7344908819,6,21.185
257.847440589399,1271.7253119069,7,22.733
1364.8474405894,1778.7253119069,7,11.849
220.853008509201,1207.716132932,8,17.864
193.864144349,1455.697774982,10,28.73
190.869712268801,1249.688596007,11,18.633
218.869712268801,1242.688596007,11,17.82
201.886416028401,1191.6610590821,14,12.288
1697.8864160284,1957.6610590821,14,6.6471
275.903119787999,1133.6335221571,17,10.801
1437.9086877078,843.624343182099,18,27.963
711.9198235475,1445.6059852321,20,17.607
531.925391467401,1749.5968062572,21,20.332
1004.9309593872,1348.5876272822,22,18.937
179.9365273071,1217.5784483072,23,23.881
204.947663146801,1243.5600903572,25,13.503
232.9532310667,1250.5509113822,26,19.624
654.9532310667,1816.5509113822,26,23.766
187.964366906401,1196.5325534323,28,22.943
1086.9643669064,1321.5325534323,28,23.273
211.9699348263,1234.5233744573,29,16.966
196.003342345401,1224.4683006074,35,25.111
513.0144781851,1958.4499426574,37,28.942
137.020046105001,1037.4407636824,38,27.036
213.0256140248,1238.4315847075,39,14.873
211.036749864601,1223.4132267575,41,14.068
212.0423177844,1227.4040477825,42,17.255
1953.0534536241,1125.3856898325,44,3.8139
158.053453624099,1243.3856898325,44,17.361
1955.059021544,1130.3765108575,45,3.673
1950.0645894638,1125.3673318826,46,3.8635
250.0645894638,1303.3673318826,46,18.093
1584.0701573837,185.3581529076,47,22.459
133.0701573837,1239.3581529076,47,16.256
624.075725303601,303.3489739326,48,10.921
610.075725303601,1987.3489739326,48,23.468
625.0812932234,314.339794957599,49,9.0163
202.0812932234,1250.3397949576,49,12.903
237.0868611433,1152.3306159826,50,13.073
130.092429063101,1348.3214370076,51,25.04
250.1202686624,1298.2755421327,56,20.51
876.1202686624,1617.2755421327,56,8.5737
1967.1258365823,763.266363157698,57,6.2182
881.1258365823,1601.2663631577,57,9.1181
892.131404502101,1628.2571841828,58,8.1466
183.136972422,1281.2480052078,59,22.077
1117.1425403419,1267.2388262328,60,27.818
202.148108261701,1245.2296472578,61,19.403
1069.1481082617,1475.2296472578,61,8.8464
1075.1648120213,1726.2021103329,64,10.483
1138.175947861,1348.1837523829,66,20.067
1171.1870837007,1298.1653944329,68,17.668
1206.1926516206,1292.1562154579,69,14.73
808.1982195404,1093.147036483,70,3.1488
1190.1982195404,1984.147036483,70,7.1388
794.203787460301,1097.137857508,71,6.523
861.209355380201,1955.128678533,72,4.3715
906.2149233,1837.119499558,73,2.907
1830.2204912199,57.1103205830004,74,29.72
719.220491219899,332.110320583,74,11.931
904.220491219899,1834.110320583,74,2.6957
1873.2260591397,76.101141608,75,13.488
725.226059139701,305.101141608,75,25.576
904.226059139701,1838.101141608,75,4.5811
1835.2316270596,77.0919626329996,76,16.18
209.2316270596,1237.091962633,76,20.601
1857.2371949794,53.0827836580975,77,19.026
1857.2371949794,918.082783658097,77,27.396
1124.2371949794,1336.0827836581,77,21.702
207.242762899301,1217.0736046831,78,11.742
196.2483308192,1274.0644257081,79,21.616
195.253898739,1201.0552467331,80,15.947
1401.2594666589,1118.0460677581,81,9.1948
658.298442097901,1912.9818149332,88,12.666
212.3095779376,1210.9634569833,90,25.471
1134.3095779376,1983.9634569833,90,14.964
224.320713777301,1264.9450990333,92,23.406
1134.3207137773,1335.9450990333,92,25.407
1867.3374175369,79.9175621083996,95,26.854
223.337417536901,1239.9175621084,95,16.984
1880.3429854567,45.9083831333992,96,12.344
117.3429854567,1336.9083831334,96,28.032
1829.3485533766,81.8992041583988,97,21.614
207.3485533766,1249.8992041584,97,25.302
1095.3541212965,58.8900251833984,98,17.698
1884.3541212965,54.8900251833984,98,13.475
658.354121296501,1822.8900251834,98,4.0991
136.3596892163,264.880846208398,99,6.4891
656.3596892163,1822.8808462084,99,6.0308
141.3652571362,279.871667233398,100,5.3132
193.3652571362,1235.8716672334,100,14.971
127.370825055999,278.862488258499,101,5.3604
212.370825055999,1273.8624882585,101,17.698
181.376392975901,1264.8533092835,102,22.853
236.393096735501,1263.8257723585,105,17.788
850.393096735501,1934.8257723585,105,12.325
235.3986646553,1229.8165933835,106,15.784
1080.3986646553,1739.8165933835,106,28.611
657.4042325752,71.8074144085003,107,8.6639
180.4042325752,1289.8074144085,107,13.48
623.409800495001,74.7982354335982,108,8.6153
1956.4153684149,1913.7890564586,109,26.178
1416.4209363348,1816.7798774836,110,16.56
229.432072174501,1316.7615195336,112,27.027
1286.4376400943,755.7523405586,113,18.253
180.4376400943,1225.7523405586,113,11.906
1399.4432080142,45.7431615836977,114,7.3703
313.4432080142,1280.7431615837,114,22.088
189.4543438539,1249.7248036337,116,11.36
1494.4599117738,370.7156246587,117,24.892
145.4599117738,1254.7156246587,117,19.713
194.465479693601,1220.7064456837,118,11.695
177.471047613501,1249.6972667087,119,12.542
150.4766155333,1277.6880877338,120,16.402
1639.4766155333,1811.6880877338,120,18.617
195.482183453199,1244.6789087588,121,18.43
211.4933192929,1286.6605508088,123,18.662
169.5100230525,1260.6330138839,126,14.779
1291.5322947319,1071.5962979839,130,21.496
1802.5378626518,78.5871190088983,131,24.752
232.543430571601,1247.577940034,132,19.018
201.560134331201,1297.550403109,135,15.154
1703.5657022511,1929.541224134,136,9.8973
1704.5712701709,1948.532045159,137,8.0028
703.576838090799,500.522866183997,138,6.3535
697.582406010601,496.513687209099,139,2.9468
718.5879739305,511.504508234098,140,3.632
1335.5879739305,561.504508234098,140,15.324
200.5879739305,1247.5045082341,140,13.953
1366.5935418504,650.495329259098,141,17.519
576.5935418504,829.495329259098,141,8.7431
1327.5991097702,551.486150284098,142,14.447
236.599109770201,1246.4861502841,142,14.788
207.6046776901,1224.4769713091,143,12.119
194.6102456099,1231.4677923341,144,12.975
180.615813529801,1259.4586133592,145,11.847
208.6213814496,1236.4494343842,146,13.109
1595.6269493695,1034.4402554092,147,17.087
1588.6325172894,1021.4310764342,148,4.524
1584.6380852092,1036.4218974592,149,3.4139
499.638085209201,1765.4218974592,149,24.281
1450.6380852092,1908.4218974592,149,26.41
1587.6436531291,1033.4127184842,150,2.6066
1597.6492210489,1042.4035395093,151,7.9855
1550.6603568887,695.385181559301,153,23.101
487.6603568887,1801.3851815593,153,28.372
517.6659248085,1818.3760025843,154,17.803
321.6770606482,1812.3576446343,156,19.547
533.693764407801,1842.3301077094,159,24.172
528.6993323277,1796.3209287344,160,23.991
516.7160360872,1799.2933918095,163,21.129
496.7216040071,1807.2842128345,164,20.655
526.727171926901,1818.2750338595,165,22.525
1479.7327398468,1066.2658548845,166,8.9607
482.732739846801,1825.2658548845,166,14.043
113.7383077667,468.256675909499,167,21.378
450.7383077667,1792.2566759095,167,20.594
81.7438756864995,481.247496934498,168,4.0568
559.743875686499,806.247496934498,168,10.856
133.766147366001,1097.2107810346,172,6.3358
506.7717152858,1801.2016020596,173,21.288
595.788419045401,1974.1740651347,176,26.043
533.7939869652,1842.1648861597,177,18.412
529.805122805001,1829.1465282097,179,11.808
530.805122805001,1830.1465282097,179,12.139
509.8106907248,1792.1373492347,180,14.552
454.8162586447,1764.1281702597,181,15.867
508.8273944844,1820.1098123098,183,13.184
591.8329624043,1795.1006333348,184,23.853
506.838530324099,1821.0914543598,185,26.225
1998.8496661638,1143.0730964098,187,9.2682
1690.8496661638,1721.0730964098,187,9.3856
503.8552340837,1837.0639174349,188,22.706
80.8608020035008,612.054738459898,189,14.166
507.860802003501,1803.0547384599,189,13.316
82.8663699234003,657.045559484901,190,4.3064
531.8663699234,1806.0455594849,190,18.383
70.8719378432997,672.0363805099,191,6.8193
1198.8719378433,964.0363805099,191,8.6995
1159.8775057631,958.0272015349,192,9.8638
1141.883073683,943.0180225599,193,9.2342
710.8886416028,515.008843584998,194,3.6374
500.8886416028,1786.008843585,194,28.169
1172.8942095227,950.999664610001,195,8.409
1161.8997774425,976.990485635,196,7.4842
1172.9053453624,967.98130666,197,9.0918
1179.9109132823,958.972127685,198,7.1528
1182.9164812021,940.962948709999,199,8.1741
1888.9164812021,1205.96294871,199,6.559
