"x","y","frame","uncertainty"
124.092981026201,809.646820805399,1,17.207
1186.0929810262,1688.6468208054,1,15.038
1924.0929810262,1866.6468208054,1,13.073
99.0985489461,731.637641830497,2,5.9422
1205.0985489461,1672.6376418305,2,17.979
1893.0985489461,1844.6376418305,2,12.097
97.1041168658994,799.6284628555,3,14.398
1901.1041168659,1862.6284628555,3,17.184
1189.1041168659,1716.6284628555,3,20.956
154.109684785801,994.6192838805,4,15.102
1190.1096847858,1696.6192838805,4,16.845
1847.1096847858,1897.6192838805,4,16.96
877.1152527057,585.6101049055,5,19.382
1873.1152527057,1879.6101049055,5,15.801
181.1208206255,981.600925930499,6,14.277
1860.1208206255,1842.6009259305,6,18.054
201.126388545399,945.591746955499,7,17.673
1260.1263885454,1726.5917469555,7,23.262
1911.1263885454,1849.5917469555,7,13.175
152.1319564652,960.5825679806,8,13.274
1921.1319564652,1853.5825679806,8,11.907
1920.1375243851,1843.5733890056,9,17.797
1912.1486602248,1852.5550310556,11,15.404
276.1542281447,1489.5458520806,12,20.179
1901.1542281447,1848.5458520806,12,13.156
1899.1597960645,1841.5366731056,13,14.077
1931.1653639844,1833.5274941307,14,14.007
1815.1709319042,1810.5183151557,15,13.778
1903.1764998241,1864.5091361807,16,15.909
170.182067743999,993.499957205699,17,13.892
1927.182067744,1823.4999572057,17,16.015
153.1876356638,973.490778230698,18,10.069
1915.1876356638,1849.4907782307,18,15.602
158.1932035837,995.481599255698,19,13.936
135.198771503499,1024.4724202807,20,14.537
1901.1987715035,1838.4724202807,20,12.085
1207.2043394234,1810.4632413058,21,25.398
1917.2043394234,1872.4632413058,21,9.3866
1921.2099073432,1876.4540623308,22,12.904
1357.2154752631,330.444883355798,23,6.5881
1134.2154752631,1731.4448833558,23,23.68
1886.2154752631,1855.4448833558,23,15.426
1350.221043183,308.435704380798,24,4.8857
1174.221043183,1706.4357043808,24,22.132
1862.221043183,1879.4357043808,24,15.265
138.2266111028,1039.4265254058,25,17.783
1915.2266111028,1877.4265254058,25,15.094
1930.2321790227,1861.4173464308,26,12.328
1142.2377469425,1698.4081674559,27,22.924
1903.2377469425,1888.4081674559,27,18.518
1879.2433148624,1883.3989884809,28,13.456
1848.2488827823,585.389809505898,29,8.8543
1876.2488827823,1889.3898095059,29,11.753
205.254450702099,956.380630530897,30,14.348
1139.2544507021,1605.3806305309,30,18.335
1949.2544507021,1839.3806305309,30,15.195
1219.2655865418,1726.3622725809,32,26.248
1844.2655865418,1836.3622725809,32,14.848
1215.2711544617,1655.353093606,33,18.528
1910.2711544617,1859.353093606,33,15.134
151.276722381501,982.343914630997,34,13.182
794.2822903014,1471.334735656,35,5.4062
1431.2822903014,1623.334735656,35,10.004
153.2878582213,976.325556681,36,13.422
1465.2878582213,1632.325556681,36,10.653
1339.2934261411,329.316377706,37,4.0256
1466.2934261411,1653.316377706,37,9.79
1356.298994061,311.307198731,38,4.0366
152.298994061,955.307198731,38,13.982
1442.298994061,1668.307198731,38,13.669
157.3045619808,1000.2980197561,39,22.082
1934.3156978206,1823.2796618061,41,15.534
962.3212657404,980.2704828311,42,3.3462
190.3212657404,1066.2704828311,42,17.307
205.3268336603,928.261303856099,43,18.381
337.332401580099,112.252124881099,44,24.148
181.332401580099,966.252124881099,44,12.835
1187.3324015801,1660.2521248811,44,19.303
1206.3379695,1729.2429459061,45,24.881
141.3435374198,968.2337669312,46,13.473
1932.3435374198,1865.2337669312,46,14.408
144.349105339699,988.2245879562,47,16.169
172.354673259601,1001.2154089812,48,15.032
1191.3658090993,1671.1970510312,50,16.131
906.3825128588,314.169514106299,53,6.5788
879.3825128588,1169.1695141063,53,3.0849
909.388080778699,312.160335131299,54,3.3297
877.388080778699,1175.1603351313,54,6.24
910.3936486986,310.151156156298,55,3.6648
1184.3936486986,1622.1511561563,55,16.14
133.3992166184,984.141977181298,56,13.219
1262.3992166184,1569.1419771813,56,25.87
953.404784538299,17.1327982062976,57,5.782
154.404784538299,997.132798206298,57,15.848
1185.4047845383,1592.1327982063,57,29.426
1196.4103524581,1608.1236192314,58,19.245
1934.4270562177,1909.0960823064,61,15.131
1276.4326241376,1643.0869033314,62,22.968
1922.4326241376,1836.0869033314,62,15.79
231.4381920574,137.077724356397,63,26.706
1912.4381920574,1850.0777243564,63,14.682
1044.4437599773,991.068545381499,64,9.5904
1887.4437599773,1867.0685453815,64,13.907
153.4493278971,984.059366406498,65,16.063
1034.4493278971,1008.0593664065,65,13.299
1873.4493278971,1823.0593664065,65,13.778
122.454895817,962.050187431498,66,16.418
1174.454895817,1622.0501874315,66,15.882
1941.454895817,1889.0501874315,66,13.928
1915.4604637369,1850.0410084565,67,13.959
148.4715995766,993.0226505065,69,20.278
1926.4715995766,1885.0226505065,69,12.804
1238.4771674964,74.013471531598,70,7.8534
162.477167496399,999.013471531598,70,12.809
1938.4771674964,1845.0134715316,70,15.278
125.482735416301,994.004292556598,71,13.328
1915.4827354163,1893.0042925566,71,18.481
767.4883033362,1467.9951135816,72,11.835
1891.4883033362,1978.9951135816,72,18.69
1547.493871256,634.9859346066,73,19.183
775.493871256,1466.9859346066,73,4.9687
1828.4994391759,853.9767556316,74,11.681
1900.4994391759,1941.9767556316,74,15.083
1963.5050070957,655.9675766566,75,3.0942
187.5050070957,987.9675766566,75,14.431
1196.5050070957,1639.9675766566,75,19.232
1912.5050070957,1885.9675766566,75,12.541
1981.5105750156,643.958397681599,76,9.5536
1124.5105750156,1688.9583976816,76,19.501
1925.5105750156,1910.9583976816,76,14.353
1835.5161429354,583.949218706697,77,6.6961
201.516142935399,999.949218706697,77,17.811
1002.5161429354,1769.9492187067,77,11.748
